arch	file	size	sha256	source
win32	libquicklz.a	2848	f25fb155391b9195c61bb97f54f4ba78819c1c9ad9868ae09261c4f3032104b4	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-quicklz-1.5.0.zip
win32	libSDL2_image.dll.a	39544	31c06f07281b71bacce8fcdb272de93e74fa8e86e67be20efba9a6cc35250e5b	SDL_image 2.8.5 official MinGW development package/SDL2_image-devel-2.8.5-mingw.zip
win32	libSDL_mixer.dll.a	65824	718b565c4e8119f2ffb739b4ff35c9b03cd30063c3f586ad814424c7243f97c5	generated from SDL_mixer 1.2.12 official Win32 binary package/SDL_mixer-1.2.12-win32.zip
win32	libsqlite.dll.a	34412	383fa1e77c473463d549fc9734211bd3d7196e3e4bd2ad966d87a4738c9631c2	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-sqlite-3071601.zip
win32	libtinyptc.a	12260	2a35b4f88478de2b0aeaaac98c2668dc165698cbb999d749472df8392a5c3254	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-tinyptc-0.8.zip
win32	libtinyptc-win.a	13004	552a962312f822e1dde3c35a25b8eac658e2490ca59fca9d87ad8ce7525195a9	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-tinyptc-0.8.zip
win32	libwx-c-0-9-0-2.dll.a	3531526	aaba57eb25dae8c059a1a256034391997b6ded5f388f798f821d467328fc0d80	FreeBASIC SourceForge 0.90.1 Libraries/FB-win32-wx-c-0.9.0.2.zip
win32	bin/win32/FreeImage.dll	6018560	f5914cf345f20177203e72987eca4a442ddd50934eb6273aa433c177e9640a41	FreeImage SourceForge Binary Distribution/3.18.0/FreeImage3180Win32Win64.zip
win32	bin/win32/iup.dll	1534857	b29701beeb8378377cbedbcfc890d370908ca380e33a4171d51384564a64a222	IUP SourceForge 3.32 Windows Libraries/Dynamic/iup-3.32_Win32_dllw6_lib.zip
win32	bin/win32/libode_single.dll	1001835	f75c34ac581eb1812baba46b1ce50c669c2edbb1feb2984dacf7e65752a14b8a	MSYS2 mingw-w64-i686-ode 0.16.6-1 package
win32	bin/win32/libFLAC-8.dll	328192	493e080e502089504b7ae28e0cbdefe04d5b1761839195daf2cae7c0c9a4143c	SDL_mixer 1.2.12 official Win32 binary package/SDL_mixer-1.2.12-win32.zip
win32	bin/win32/libmikmod-2.dll	263168	b834b437e77e0a288f454b15729c1dffad08208fa9e9d6beedcd6ad93f2c89a4	SDL_mixer 1.2.12 official Win32 binary package/SDL_mixer-1.2.12-win32.zip
win32	bin/win32/libogg-0.dll	24064	f96475cd53f87ea279ed6425aa52a53af8b1d0999c521cd78441bcc9e842d3a1	SDL_mixer 1.2.12 official Win32 binary package/SDL_mixer-1.2.12-win32.zip
win32	bin/win32/libvorbis-0.dll	163840	bd5cc577eda0197ea32551cb118ae382b0c72bd8f24daafe536f2f1504ccdbb4	SDL_mixer 1.2.12 official Win32 binary package/SDL_mixer-1.2.12-win32.zip
win32	bin/win32/libvorbisfile-3.dll	36352	8a61aa0127df00e31ac0a24029ca6bd8024057ca7432b82d87d7bb612910c294	SDL_mixer 1.2.12 official Win32 binary package/SDL_mixer-1.2.12-win32.zip
win32	bin/win32/SDL2_image.dll	177664	4ba631bb58bd31ce328cb8c71f21e6da83fd10843e67d51deba6ce153ebb3e44	SDL_image 2.8.5 official MinGW development package/SDL2_image-devel-2.8.5-mingw.zip
win32	bin/win32/SDL_mixer.dll	160256	04997292dfb89be611f074699224992d4618f258b49e31d91dfbc76a9fd0e714	SDL_mixer 1.2.12 official Win32 binary package/SDL_mixer-1.2.12-win32.zip
win32	bin/win32/smpeg.dll	209408	86e81a2c58b6cd757909c9719d567ef445d887da326fbdb5388c85fd118cf467	SDL_mixer 1.2.12 official Win32 binary package/SDL_mixer-1.2.12-win32.zip
win64	libiup.a	457194	d18447cc1e20bac632fef287ba30884a00d0a202caea27b7248b8caf5e8afbf1	IUP SourceForge 3.32 Windows Libraries/Dynamic/iup-3.32_Win64_dllw6_lib.zip
win64	libbig_int.a	67520	7d9d829af60dd53e2eee4f298acdd563f1f3b236fb688989cd58199d305d53f9	PECL big_int-1.0.7 libbig_int source, built with MSYS2 x86_64-w64-mingw32-gcc
win64	libdisphelper.a	28270	7f71c259be4d51f34fcde360073b85b26ea082df5815b92eb30a78bca08e5133	DispHelper SourceForge 0.81 single_file_source, built with MSYS2 x86_64-w64-mingw32-gcc
win64	libfcgi.a	53294	d7d8ed01511126b74f3b84c0bc67a4e24a129d61af093e0453e4369a49449bf7	FastCGI.com archived fcgi-2.4.1-SNAP-0910052249 source, built static with MSYS2 x86_64-w64-mingw32-gcc and contrib/winlibs-legacy/patches/fcgi-2.4.1-win64-pointer-sized-handles.patch
win64	libgdsl.a	123484	6dc38b74fcb69e19bae1766de03fbb03d8f926309020cd9851a83bcbd09dd211	SourceForge GDSL 1.8 source, built static with MSYS2 x86_64-w64-mingw32-gcc using CFLAGS=-std=gnu89 -O2
win64	libquicklz.a	3638	fcb64202f5a4092ba1084d47ee74f7f1af0edcbe6ee2e802f61b04778f31692c	QuickLZ 1.5.0 source from Hackage quicklz-1.5.0.3, built with MSYS2 x86_64-w64-mingw32-gcc
win64	libsqlite.a	490194	28ca1425346cb15e986adba7c3866ec1f955caac61cf3dae4e59a328d35ff8c3	SQLite Fossil tarball version-2.8.17, built static with MSYS2 x86_64-w64-mingw32-gcc
